input,context,output
sunting,Sunting is often said in Korea for applying film to car windows. The natural English term is tinting,tinting
hand drip,"Hand drip coffee is used in Korea for coffee brewed with a dripper. In English, the proper term is pour-over coffee.",pour-over coffee
white gown,"White gown is often said in Korea for coats worn by doctors or scientists. In English, the correct word is lab coat.",lab coat
oil tank,Oil tank is used in Korea for large containers that store fuel. The correct English phrase is fuel tank.,fuel tank
hot issue,"Hot issue is often used in Korea to mean a popular or controversial topic. In English, the natural phrase is trending topic.",trending topic
talent,Talent is used in Korea for TV entertainers or celebrities. The correct English word is celebrity.,celebrity
health food,"Health food is said in Korea for nutritional supplements. In English, the clear term is health supplement.",health supplement
PC room,"PC room is widely used in Korea for internet gaming cafes. In English, the proper word is internet cafe.",internet cafe
service water,Service water is often said in Korea for free water given at restaurants. The correct English phrase is tap water or complimentary water.,complimentary water
safe guard,Safe guard is often said in Korea for security staff. The natural English phrase is security guard.,security guard
penalty kick,Penalty kick is used in Korea for deciding shots after a tie in soccer. The correct English term is penalty shoot-out.,penalty shoot-out
binder file,"Binder file is often used in Korea to mean a folder with rings for holding papers. In English, the correct word is ring binder.",ring binder
handwriting pad,Handwriting pad is said in Korea for electronic devices used to sign documents. The proper English term is signature pad.,signature pad
public phone,"Public phone is commonly used in Korea to mean a pay phone on the street. In English, the clear term is pay phone.",pay phone
folding bike,Folding bike is often said in Korea for a bicycle that can be folded for storage. The correct English word is foldable bicycle.,folding bicycle
baby car,"Baby car is used in Korea to mean a small vehicle for carrying babies. In English, this is called a stroller.",stroller
kid cafe,Kid cafe is commonly used in Korea for cafes with play areas for children. The natural English expression is children¡¯s cafe or play cafe.,childrens cafe
street brand,"Street brand is often used in Korea for affordable fashion brands found in shopping districts. In English, the proper phrase is fashion brand.",fashion brand
unique item,"Unique item is said in Korea to describe clothing or accessories that stand out. In English, the correct expression is statement piece.",statement piece
fitting model,"Fitting model is commonly used in Korea for models who try on clothes to check fit before production. In English, this role is called a fit model.",fit model
hair roll,Hair roll is often used in Korea for curlers that shape hair before styling. The natural English term is hair curler.,hair curler
rent car,Rent car is said in Korea when talking about cars hired for travel. The proper English term is rental car.,rental car
concept photo,"Concept photo is widely used in Korea for themed photo sessions, often for albums or events. In English, this is called a themed photoshoot.",themed photoshoot
photo zone,Photo zone is used in Korea for designated areas meant for taking pictures. The correct English expression is photo spot.,photo spot
healing spot,"Healing spot is commonly said in Korea for relaxing places visited to relieve stress. In English, this is expressed as relaxing spot.",relaxing spot
high class hotel,High class hotel is often said in Korea for expensive or luxury accommodations. The natural English terms are upscale hotel or premium hotel.,premium hotel.
low quality,"Low quality is often used in Korea to describe products that are poorly made. In English, the natural term is poor quality.",poor quality
skinship,"Skinship is often used in Korea to describe physical closeness or touching between people, such as holding hands or hugging. In English, the natural expression is physical affection.",physical affection
cunning,Cunning is said in Korea to mean secretly looking at others¡¯ answers or being dishonest during an exam. The correct English word in this context is cheating.,cheating
super,Super is commonly used in Korea for small neighborhood stores that sell snacks and daily goods. The proper English term is convenience store.,convenience store
A/S,"A/S is widely used in Korea for places where broken electronics are fixed after purchase. In English, this is expressed as customer service or warranty service.",customer service
service,"Service is often said in Korea when a store gives extra food or items for free. In English, the correct phrase is complimentary item.",complimentary item
selca,"Selca is a popular Korean word for pictures taken of oneself, usually with a phone camera. In English, the standard term is selfie.",selfie
officetel,Officetel is used in Korea for buildings that combine office and residential spaces. The proper English expression is studio apartment,studio apartment
one piece,"One piece is often said in Korea to mean a single-piece women¡¯s dress. In English, the natural word is simply dress.",simply dress
padding,Padding is widely used in Korea to mean a thick winter jacket filled with down or synthetic material. The correct English phrase is padded jacket.,padded jacket
bring cider,"Cider in Korea refers to clear, soda like Sprite or 7-Up. In English, this drink is just called soda.",soda
pocket ball,"In Korea, pocket ball means billiards with six pockets, but in English the term does not exist, and the correct word is billiards or pool.",billiards
kickboard,"In Korea, kickboard refers to a child¡¯s scooter, but in English it means a swimming float, so the correct term is kick scooter.",kick scooter
Man to man,"In Korea, man to man is used for a round-neck sweatshirt, but in English it means direct communication or a basketball defense style, so the correct expression is crewneck sweatshirt.",crewneck sweatshirts
mini homepage,"In Korea, mini homepage means a small personal online space like Cyworld, but in English the phrase is not used, and the natural term is personal homepage or personal website.",personal homepage
soul food,"In Korea, soul food is used to mean comforting food, but in English it refers to African American traditional cuisine, so the correct word is comfort food.",comfort food
one shot!,"In Korea, one shot is used to mean drinking something in one go, but in English the natural expression is let¡¯s chug it.",Let¡¯s chug it!
ucc,"In Korea, ucc is used to mean user-created content, but in English the correct phrase is user generated content.",user generated content
back mirror,"In Korea, back mirror is used to mean the mirror in a car, but in English the right term is rearview mirror.",rearview mirror
home training,"In Korea, home training is used to describe exercising at home, but in English people say home workouts.",home workouts
cf,"In Korea, cf is used to mean a commercial film, but in English the correct word is advertisement or commercial.",advertisement
remicon,"In Korea, remicon is used to mean concrete delivered to a construction site, but in English the correct term is ready mix concrete.",ready mix concrete
sense,"In Korea, sense is used to mean skill or delicacy in dealing with people, but in English the natural expression is tact.",tact
burberry,"In Korea, burberry is used to mean a long coat, but in English Burberry is a brand name, and the correct generic term is trench coat.",trench coat
open car,"In Korea, open car is used to mean a car with a retractable roof, but in English the correct term is convertible.",convertible
training pants,"In Korea, training pants is used to mean sweatpants or sportswear, but in English the correct term is sweatpants.",sweatpants
y shirt,"In Korea, y shirt is used to mean a formal button down shirt, but in English the natural expression is dress shirt.",dress shirt
morning call,"In Korea, morning call is used to mean a hotel wake up service, but in English the proper term is wake up call.",wake up call
consent,"In Korea, consent is used to mean an electrical outlet, but in English the correct word is electrical outlet.",electrical outlet
hand mixer,"In Korea, hand mixer is often used to mean a stick blender, but in English the accurate term is hand blender.",hand blender
gas range,"In Korea, gas range is used to mean the appliance for cooking, but in English the correct word is gas stove.",gas stove
villa,"In Korea, villa is used to mean a townhouse or low-rise apartment, but in English villa usually refers to a luxurious house, so the correct word here is townhouse.",townhouse
event,"In Korea, event is used to mean a promotional offer, but in English the more accurate word is promotion.",promotion
hand cream,"In Korea, hand cream is commonly used for moisturizing lotion, but in English the more natural term is hand lotion.",hand lotion
study cafe,"In Korea, study cafe is used to mean a quiet place for studying, but in English the natural expression is study lounge.",study lounge
navigation,"In Korea, navigation is used to mean the digital map system in cars, but in English the natural word is GPS.",GPS
car tune up,"In Korea, car tune up is commonly used for general car service, but in English the proper phrase is car maintenance",car maintenance
diary,"In Korea, diary is used to mean a schedule organizer, but in English the correct word is planner.",planner
event hall,"In Korea, event hall is used to describe a place for conventions or seminars, but in English the proper expression is convention center.",convention center
salary man,"In Korea, salary man is used to mean an office employee, but in English the natural expression is office worker.",office worker
sticker photo,"In Korea, sticker photo is used to mean a small printed picture from a booth, but in English the natural phrase is photo booth picture.",photo booth picture
hand phone,"In Korea, hand phone is commonly used to mean a mobile device, but in English the correct word is cell phone.",cell phone
eye shopping,"In Korea, eye shopping is used to mean looking at items without buying, but in English the proper expression is window shopping.",window shopping
hot dog,"In Korea, hot dog is often used to mean a sausage on a stick, but in English the correct term is corn dog.",corn dog
skin diving,"In Korea, skin diving is used to mean diving with basic gear in shallow water, but in English the more natural expression is scuba diving.",scuba diving
fancy,"In Korea, fancy is used to mean stationery items, but in English the correct word is stationery.",stationery
pama,"In Korea, pama is used to mean a hairstyle with curls, but in English the proper term is perm.",perm
Open market,"In Korea, open market is used to mean an online marketplace, but in English the natural expression is online marketplace.",Online marketplace
apart,"In Korea, apart is used as a short form for apartment, but in English the correct word is apartment.",apartment
skin lotion,"In Korea, skin lotion is used to mean facial toner in cosmetics, but in English the proper term is toner.",toner
sharp pencil,"In Korea, sharp pencil is used to mean a refillable writing tool, but in English the correct term is mechanical pencil.",mechanical pencil
body profile,"In Korea, body profile is used to mean a professional fitness photoshoot, but in English the natural expression is fitness photo shoot.",fitness photo shoot
black box,"In Korea, black box is used to mean an in car video recording device, but in English the proper word is dashcam",dashcam
off time,"In Korea, off time is used to mean a short break during work, but in English the correct expression is break.",We usually play games during our break at work.
home shopping,"In Korea, home shopping is used to mean buying products through TV programs, but in English the proper term is TV shopping channel.",shopping channel
high teen movies,"In Korea, high teen movies is used to mean films about teenagers, but in English the natural phrase is teen movies.",teen movies
black consumer,"In Korea, black consumer is used to mean a troublesome or problematic customer, but in English the correct expression is problematic customer.",problematic customer
muffler,"In Korea, muffler is used to mean a piece of clothing worn around the neck in winter, but in English the right word is scarf.",scarf
neck tie,"In Korea, neck tie is used to mean a tie, but in English people simply say tie.",tie
open hour,"In Korea, open hour is used to mean the time when a place starts business, but in English the correct expression is opening hours.",What are the opening hours of this cafe?
driving course,"In Korea, driving course is used to mean a scenic driving route, but in English the correct expression is scenic driving route.",driving route
eco bag,"In Korea, eco bag is used to mean a reusable cloth or canvas bag, but in English the natural term is tote bag.",tote bag
car center,"In Korea, car center is used to mean a place where cars are repaired, but in English the proper word is repair shop.",repair shop
remocon,"In Korea, remocon is used to mean a device that controls electronics from a distance, but in English the correct word is remote.",remote
salaryman,"In Korea, salaryman is used to mean an office worker, but in English the natural expression is office worker.",office worker
multitap,"In Korea, multitap is used to mean an electrical strip with multiple outlets, but in English the correct word is power strip.",power strip
juice corner,"In Korea, juice corner is used to mean a section of a grocery store, but in English the proper term is juice section.",juice section
ball pen,"In Korea, ball pen is used to mean a common writing pen, but in English the natural expression is ballpoint pen.",ballpoint pen
vinyl house,"In Korea, vinyl house is used to mean a structure for growing plants, but in English the correct term is greenhouse.",greenhouse
running machine,"In Korea, running machine is used to mean exercise equipment for running indoors, but in English the right word is treadmill.",treadmill
road shops,"In Korea, ""road shop"" means a street cosmetic store, but English speakers think of a car shop. The correct term is ""beauty store.""",beauty stores
hot cakes,"In Korea, ""hot cake"" means a pancake, but English speakers think it¡¯s just a cake served hot. The correct term is ""pancake.""",pancakes
circle activity,"In Korea, ""circle activity"" means a university club, but English speakers picture people standing in a circle. The correct term is ""club activity"".",club activity
hard carried,"In Korea, ""hard carry"" means single-handedly leading a team, but English speakers think of lifting something heavy. The correct term is ""carry the team"" or ""lead the team.""",carried
auto bike,"In Korea, ""auto bike"" means a motorcycle, but English speakers imagine an automatic bicycle. The correct term is ""motorcycle.""",motorcycles
office girl,"In Korea, ""office girl"" means a female office worker, but English speakers interpret it as childish or even offensive. The correct term is ""female office worker"" or simply ""office worker.""",female office worker
building owner,"In Korea, ""building owner"" means a person who owns a whole building, but English speakers think of someone who just owns any building. The correct term is ""landlord"".",landlord
driver,"In Korea, ""driver"" means a hired chauffeur, but English speakers usually think of anyone who drives a car. The correct term is ""chauffeur.""",chauffeur
health,"In Korea, ""health"" means going to the gym or working out, but English speakers just think of general health. The correct term is ""workout"".",workout
ice rink,"In Korea, ""ice rink"" is used correctly for a skating rink, but English speakers more often say ""skating rink"". The correct term is ""skating rink"".",skating rink
coffee mix,"In Korea, ""coffe mix"" means instant coffee with sugar and creamer, but English speakers think it just means mixing coffee. The correct term is ""instant coffee.""",coffee mix
canvas,"In Korea, ""canvas"" can mean a tote bag material, but English speakers first think of an artist¡¯s painting surface. The correct term is ""canvas bag.""",canvas
one room,"In Korea, ""one room"" means a small studio apartment, but English speakers just think of a single room. The correct term is ""studio apartment.""",studio apartment
skin care,"In Korea, ""skin care"" often means facial treatment at a beauty shop, but English speakers think of general routines like lotion or sunscreen. The correct term is ""facial treatment.""",facial treatment
shower filter,"In Korea, ""shower filter"" means a filter on the shower head, but English speakers think of cleaning the shower. The correct term is ""shower head filter.""",shower head filter
standing mic,"In Korea, ""standing mic"" means a microphone with a floor stand, but English speakers may think of any mic you use while standing. The correct term is ""stand microphone"".",stand microphone
multi shop,"In Korea, ""multi shop"" means a select shop selling various brands, but English speakers think of a store with many branches. The correct term is ""select shop.""",select shop
ice cup,"In Korea, ""ice cup"" means a cup with ice for drinks, but English speakers think it¡¯s a cup made of ice. The correct term is ""cup of ice.""",cup of ice
card key,"In Korea, ""card key"" means a hotel room key card, but English speakers think it¡¯s just a key-shaped card. The correct term is ""key card.""",Please bring your key card to the front desk.
note PC,"In Korea, ""note PC"" means a laptop computer, but English speakers may not recognize it and just think of a note with ""PC"" written on it. The correct term is ""laptop.""",laptop
mask pack,"In Korea, ""mask pack"" means a facial sheet mask, but English speakers think it¡¯s a pack of faces or makeup products. The correct term is ""sheet mask.""",sheet mask
tea time,"In Korea, ""tea time"" means a casual coffee or snack break, but English speakers think of the British tradition of afternoon tea. The correct term is ""coffee break.""",coffee break
wine house,"In Korea, ""wine house"" means a bar or restaurant that mainly serves wine, but English speakers think of a winery or wine shop. The correct term is ""wine bar.""",wine bar
The restaurant has a self bar for side dishes.,"In Korea, ""self bar"" means a buffet style corner where you serve yourself, but English speakers may think of a self service pub. The correct term is ""self-serve bar"".",The restaurant has a self service bar for side dishes.
training suit,"In Korea, ""taining suit"" means a tracksuit for exercise, but English speakers think of a business training program outfit. The correct term is ""tracksuit.""",tracksuit
oil paper,"In Korea, ""oil paper"" means blotting paper for removing facial oil, but English speakers think of cooking paper soaked with oil. The correct term is ""blotting paper.""",blotting paper
outdoor table,"In Korea, ""outdoor table"" means a portable camping table, but English speakers think of patio furniture. The correct term is ""patio table.""",patio table
dressing,"In Korea, ""dressing"" often means a bandage for wounds, but English speakers first think of salad dressing. The correct term is ""bandage""",bandage
cutter knife,"In Korea, ""cutter knife"" means a utility knife for cutting paper or boxes, but English speakers think of a kitchen knife for cutting meat. The correct term is ""utility knife""",utility knife
sign pen,"In Korea, ""sign pen"" means a felt-tip pen, but English speakers think it¡¯s only for signing documents. The correct term is ""felt-tip pen.""",felt-tip pen
family restaurant,"In Korea, ""family restaurant"" means a casual chain restaurant for groups, but English speakers may think of any restaurant where families eat. The correct term is ""casual dining restaurant.""",dining restaurant
cycle,"In Korea, ""cycle"" means a bicycle, but English speakers think first of a repeating process. The correct term is ""bicycle.""",bicycle
burger set,"In Korea, ""burger set"" means a meal with a burger, fries, and a drink, but English speakers think of a group of burgers. The correct term is ""combo meal"".",combo meal
red ginseng,"In Korea, ""red ginseng"" means processed ginseng for health, but English speakers think it¡¯s simply ginseng that is red. The correct term is ""Korean red ginseng.""",Korean red ginseng
open sandwich,"In Korea, ""open sandwich"" means bread with toppings, but English speakers say ""open-faced sandwich."" The correct term is ""open-faced sandwich.""",open-faced sandwich
open run,"In Korea, ""open run"" means lining up before a store opens, but English speakers think of a theater show with no end date. The correct term is ""early line up"".",early line up
hand strap,"In Korea, ""hand strap"" means a subway strap, but English speakers think of a wrist strap. The correct term is ""subway strap"".",subway strap
dress room,"In Korea, ""dress room"" means a fitting or changing room, but English speakers think of a room full of dresses. The correct term is ""fitting room.""",fitting room
black humor,"In Korea, ""black humor"" is often used for harsh or offensive jokes, but English speakers understand it as dark or morbid humor. The correct term is ""dark humor.""",dark humor
hand blender,"In Korea, ""hand blender"" means a stick blender, but English speakers think of a blender used by hand. The correct term is ""immersion blender.""",immersion blender
cash points,"In Korea, ""cash point"" means reward points you can collect and use like money, but English speakers think of an ATM. The correct term is ""reward points.""",reward points
sketch book,"In Korea, ""sketch book"" means a large drawing pad, but English speakers think of a small notebook. The correct term is ""drawing pad.""",drawing pad
vinyl bag,"In Korea, ""vinyl bag"" means a plastic shopping bag, but English speakers think of a bag made from vinyl material. The correct term is ""plastic bag.""",plastic bag
stamp,"In Korea, ""stamp"" means a store loyalty stamp for collecting rewards, but English speakers think first of a postage stamp. The correct term is ""seal.""",seal
condo,"In Korea, ""condo"" means a vacation resort membership facility, but English speakers think of a condominium apartment. The correct term is ""vacation apartment"".",vacation apartment
manicure,"In Korea, ""manicure"" means nail polish, but English speakers think of the nail care treatment. The correct term is ""nail polish.""",nail polish
master,"In Korea, ""master"" can mean an expert in a field, but English speakers first think of a master¡¯s degree or someone in control. The correct term is ""specialist.""",specialist
